lot_id,раздел,вариант,машина,пилот_номер,год,масштаб,цена_руб,с_коробкой,рейтинг,заказов,заметки
1005010208916818,Модели 1:43,1-VER-Japan,Red Bull RB21,Verstappen #1,2025,1:43,789,не указано,4.9,1947,ливрея ГП Японии
1005010208916818,Модели 1:43,22-TSU-Japan,Red Bull RB21,Tsunoda #22,2025,1:43,789,не указано,4.9,1947,ливрея ГП Японии
1005010208916818,Модели 1:43,22-TSU-Bahrain,Red Bull RB21,Tsunoda #22,2025,1:43,789,не указано,4.9,1947,ливрея ГП Бахрейна
1005010208916818,Модели 1:43,16-LEC,Ferrari SF-25,Leclerc #16,2025,1:43,789,не указано,4.9,1947,
1005010208916818,Модели 1:43,81-PIA-Australia,McLaren MCL39,Piastri #81,2025,1:43,789,не указано,4.9,1947,ливрея ГП Австралии
1005010208916818,Модели 1:43,63-RUS-Australia,Mercedes W16,Russell #63,2025,1:43,789,не указано,4.9,1947,ливрея ГП Австралии
1005010208916818,Модели 1:43,16-LEC-Miami,Ferrari SF-25,Leclerc #16,2025,1:43,789,не указано,4.9,1947,ливрея ГП Майами
1005010208916818,Модели 1:43,44-HAM-Miami,Ferrari SF-25,Hamilton #44,2025,1:43,789,не указано,4.9,1947,ливрея ГП Майами
1005010208916818,Модели 1:43,4-NOR-Britain,McLaren MCL39,Norris #4,2025,1:43,789,не указано,4.9,1947,ливрея ГП Великобритании
1005010208916818,Модели 1:43,81-PIA-Britain,McLaren MCL39,Piastri #81,2025,1:43,789,не указано,4.9,1947,ливрея ГП Великобритании
1005010208916818,Модели 1:43,63-RUS-Britain,Mercedes W16,Russell #63,2025,1:43,789,не указано,4.9,1947,ливрея ГП Великобритании
1005010208755468,Модели 1:43,2025 SF25-16,Ferrari SF-25,Leclerc #16,2025,1:43,879,не указано,4.9,791,
1005010208755468,Модели 1:43,2025 SF25-44,Ferrari SF-25,Hamilton #44,2025,1:43,879,не указано,4.9,791,
1005010208755468,Модели 1:43,2025 SF25-16 M,Ferrari SF-25,Leclerc #16,2025,1:43,879,не указано,4.9,791,ливрея ГП Майами
1005010208755468,Модели 1:43,2025 RB21-1JP,Red Bull RB21,Verstappen #1,2025,1:43,879,не указано,4.9,791,ливрея ГП Японии
1005010208755468,Модели 1:43,2025 RB21-22JP,Red Bull RB21,Tsunoda #22,2025,1:43,879,не указано,4.9,791,ливрея ГП Японии
1005010208755468,Модели 1:43,2025 RB21-1BHR,Red Bull RB21,Verstappen #1,2025,1:43,879,не указано,4.9,791,ливрея ГП Бахрейна
1005010208755468,Модели 1:43,2025 RB21-22BHR,Red Bull RB21,Tsunoda #22,2025,1:43,879,не указано,4.9,791,ливрея ГП Бахрейна
1005010208755468,Модели 1:43,2025 W16 E-12,Mercedes W16,Antonelli #12,2025,1:43,879,не указано,4.9,791,
1005010208755468,Модели 1:43,2025 W16 E-63,Mercedes W16,Russell #63,2025,1:43,879,не указано,4.9,791,
